"UnitKey","TyreKey","DistrictKey","UnitCode","EquipmentClass","PlantDescription","TyrePosition","TyreSerialNumber","BrandName","RecommendedPressurePsi","PressurePsi","LifetimeHours","ReadingDateTime","SourceSystem","SourceFileName"
"","","","ADM180-001","DT 180 Ton","ADMO Tutupan","1","ADM180-001-01","Goodyear","100","101","5487","2026-03-04 06:11:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADM180-001","DT 180 Ton","ADMO Tutupan","2","ADM180-001-02","Triangle","100","86","5524","2026-03-04 06:12:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADM180-001","DT 180 Ton","ADMO Tutupan","3","ADM180-001-03","Michelin","100","107","5561","2026-03-04 06:13:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADM180-001","DT 180 Ton","ADMO Tutupan","4","ADM180-001-04","Bridgestone","100","91","5598","2026-03-04 06:14:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADM180-001","DT 180 Ton","ADMO Tutupan","5","ADM180-001-05","Goodyear","100","94","5635","2026-03-04 06:15:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADM180-001","DT 180 Ton","ADMO Tutupan","6","ADM180-001-06","Triangle","100","97","5672","2026-03-04 06:16:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADM180-002","DT 180 Ton","ADMO Tutupan","1","ADM180-002-01","Triangle","100","108","5737","2026-03-04 06:21:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADM180-002","DT 180 Ton","ADMO Tutupan","2","ADM180-002-02","Michelin","100","92","5774","2026-03-04 06:22:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADM180-002","DT 180 Ton","ADMO Tutupan","3","ADM180-002-03","Bridgestone","100","95","5811","2026-03-04 06:23:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADM180-002","DT 180 Ton","ADMO Tutupan","4","ADM180-002-04","Goodyear","100","98","5848","2026-03-04 06:24:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADM180-002","DT 180 Ton","ADMO Tutupan","5","ADM180-002-05","Triangle","100","114","5885","2026-03-04 06:25:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADM180-002","DT 180 Ton","ADMO Tutupan","6","ADM180-002-06","Michelin","100","104","5922","2026-03-04 06:26:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADH2040-001","DT 20-40 Ton","ADMO Hauling","1","ADH2040-001-01","Goodyear","100","101","5487","2026-03-04 06:11:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADH2040-001","DT 20-40 Ton","ADMO Hauling","2","ADH2040-001-02","Triangle","100","86","5524","2026-03-04 06:12:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADH2040-001","DT 20-40 Ton","ADMO Hauling","3","ADH2040-001-03","Michelin","100","107","5561","2026-03-04 06:13:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADH2040-001","DT 20-40 Ton","ADMO Hauling","4","ADH2040-001-04","Bridgestone","100","91","5598","2026-03-04 06:14:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADH2040-001","DT 20-40 Ton","ADMO Hauling","5","ADH2040-001-05","Goodyear","100","94","5635","2026-03-04 06:15:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
"","","","ADH2040-001","DT 20-40 Ton","ADMO Hauling","6","ADH2040-001-06","Triangle","100","97","5672","2026-03-04 06:16:00","mock_csv_upload","fact_tyre_pressure_reading_mock.csv"
